                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0173,                 4.4885,                 1.3235,                0.01194,                0.27699,                0.05075,                0.02589,                 1.1315,                 4.4036,                0.92587,             0.00010584,             0.00010584,             0.00010584
                      2,                 1.4788,                 3.1152,                 1.0155,                0.03225,                0.75444,                0.21944,                0.15344,                 1.0499,                 3.8009,                0.91875,             0.00021325,             0.00021325,             0.00021325
                      3,                 1.3846,                 1.9412,                0.98766,                0.03996,                0.89988,                0.37612,                0.24329,                 1.1015,                 3.4312,                 0.9535,             0.00031624,             0.00031624,             0.00031624
                      4,                 1.3172,                  1.616,                 0.9785,                0.04753,                0.99166,                 0.4664,                0.31959,                 1.0373,                 2.8917,                0.92699,              0.0004148,              0.0004148,              0.0004148
                      5,                 1.2537,                 1.4488,                 0.9718,                0.74356,                0.29828,                0.62337,                0.43531,                 1.1097,                 2.4134,                0.93612,             0.00050894,             0.00050894,             0.00050894
                      6,                 1.2266,                 1.2531,                0.95897,                0.79251,                0.47783,                 0.6427,                0.36773,                 1.3935,                 2.1253,                0.98424,             0.00052979,             0.00052979,             0.00052979
                      7,                 1.2042,                 1.1495,                0.95306,                0.78533,                0.68314,                0.76961,                0.48212,                 1.2465,                 1.5105,                0.95864,             0.00051815,             0.00051815,             0.00051815
                      8,                 1.1534,                 1.0283,                0.93375,                0.83685,                0.77782,                0.89139,                0.63515,                0.98188,                  1.372,                0.89981,              0.0005065,              0.0005065,              0.0005065
                      9,                 1.1258,                0.99124,                0.94113,                0.90061,                0.83716,                0.93015,                0.67829,                 1.0088,                 1.1557,                 0.9074,             0.00049486,             0.00049486,             0.00049486
                     10,                 1.1137,                0.95303,                0.93155,                0.90678,                0.91565,                0.96601,                0.71856,                 0.9545,                0.84278,                0.89884,             0.00048322,             0.00048322,             0.00048322
                     11,                 1.0949,                0.88183,                0.92989,                0.91351,                0.93102,                0.96776,                0.72134,                0.96353,                 0.8397,                0.89631,             0.00047158,             0.00047158,             0.00047158
                     12,                 1.0937,                0.86412,                0.92483,                0.92185,                0.91474,                0.96994,                0.71505,                0.96806,                0.98048,                0.89552,             0.00045993,             0.00045993,             0.00045993
                     13,                 1.0853,                 0.8329,                 0.9313,                0.93469,                0.94866,                0.97499,                0.74972,                0.89681,                0.69527,                0.89523,             0.00044829,             0.00044829,             0.00044829
                     14,                  1.042,                0.83183,                0.91841,                0.94116,                0.95766,                0.97365,                0.72985,                0.95261,                0.71679,                0.90931,             0.00043665,             0.00043665,             0.00043665
                     15,                 1.0223,                0.77079,                0.91119,                0.90956,                0.93675,                0.96793,                0.73652,                0.89119,                0.74613,                0.88879,             0.00042501,             0.00042501,             0.00042501
                     16,                 1.0868,                0.77221,                0.92663,                0.96936,                0.96219,                0.98052,                0.75238,                0.90268,                0.67517,                0.89431,             0.00041336,             0.00041336,             0.00041336
                     17,                 1.0534,                0.74519,                0.92235,                0.97437,                0.97206,                0.98655,                0.72304,                 1.0227,                0.67326,                0.91423,             0.00040172,             0.00040172,             0.00040172
                     18,                0.99922,                0.71564,                0.91438,                0.96344,                0.96237,                0.98265,                0.76537,                0.85402,                0.59723,                0.88827,             0.00039008,             0.00039008,             0.00039008
                     19,                0.99293,                0.72936,                 0.9167,                0.97233,                0.97847,                 0.9845,                0.75694,                0.88362,                0.58615,                0.88795,             0.00037844,             0.00037844,             0.00037844
                     20,                0.99845,                0.71282,                0.90857,                0.96816,                 0.9635,                0.98227,                0.74388,                 0.8883,                  0.647,                0.89322,             0.00036679,             0.00036679,             0.00036679
                     21,                 1.0159,                0.70122,                0.91732,                0.97542,                 0.9761,                0.98301,                 0.7682,                0.83939,                0.57135,                0.88962,             0.00035515,             0.00035515,             0.00035515
                     22,                0.96616,                0.67125,                0.90506,                0.98242,                0.97538,                0.98715,                0.76072,                0.86469,                 0.5681,                0.89006,             0.00034351,             0.00034351,             0.00034351
                     23,                0.96352,                0.68405,                0.91038,                0.97467,                0.98487,                0.98731,                0.77185,                0.83452,                0.58703,                  0.883,             0.00033187,             0.00033187,             0.00033187
                     24,                0.96536,                0.69078,                  0.904,                0.96535,                0.97094,                 0.9801,                 0.7634,                0.84956,                 0.5761,                 0.8862,             0.00032022,             0.00032022,             0.00032022
                     25,                0.95146,                0.65732,                  0.904,                0.96692,                0.98392,                0.98677,                0.76261,                0.86186,                  0.564,                0.88472,             0.00030858,             0.00030858,             0.00030858
                     26,                0.94811,                0.64433,                 0.9075,                0.97166,                0.98669,                0.98602,                0.75548,                0.88873,                0.59086,                0.88864,             0.00029694,             0.00029694,             0.00029694
                     27,                0.94682,                0.65004,                0.90397,                0.97718,                0.97421,                0.98704,                0.76549,                0.86146,                0.56425,                0.88609,              0.0002853,              0.0002853,              0.0002853
                     28,                0.99616,                0.65545,                0.90963,                0.94057,                0.98324,                0.98256,                0.76609,                0.84695,                0.57506,                0.89017,             0.00027366,             0.00027366,             0.00027366
                     29,                0.95979,                0.64561,                0.90592,                0.98085,                0.97834,                0.98584,                0.77177,                0.84116,                0.55241,                0.88415,             0.00026201,             0.00026201,             0.00026201
                     30,                0.95958,                0.63801,                0.90985,                0.97725,                0.97235,                0.98551,                0.77272,                0.83557,                0.53988,                0.88384,             0.00025037,             0.00025037,             0.00025037
                     31,                0.96101,                0.62807,                0.90646,                0.97001,                0.98459,                0.98622,                0.77471,                 0.8505,                 0.5303,                0.89212,             0.00023873,             0.00023873,             0.00023873
                     32,                0.91598,                0.62638,                0.89591,                0.98064,                 0.9863,                0.98658,                0.77552,                0.81723,                0.52059,                0.88202,             0.00022709,             0.00022709,             0.00022709
                     33,                0.92032,                0.61466,                0.89854,                0.97771,                0.98215,                0.98711,                0.77149,                0.83649,                0.54557,                0.88024,             0.00021544,             0.00021544,             0.00021544
                     34,                0.93431,                0.62233,                0.89881,                0.97876,                0.98229,                0.98499,                0.75238,                0.91403,                0.55219,                0.89252,              0.0002038,              0.0002038,              0.0002038
                     35,                0.92999,                0.61115,                0.90156,                0.97513,                0.98015,                0.98572,                0.76707,                0.85402,                0.53646,                0.88775,             0.00019216,             0.00019216,             0.00019216
                     36,                0.91207,                0.59885,                0.90157,                0.96633,                0.98412,                0.98624,                0.77461,                0.83675,                0.52193,                 0.8869,             0.00018052,             0.00018052,             0.00018052
                     37,                0.91119,                0.59557,                0.89822,                 0.9824,                0.98441,                0.98653,                0.77817,                0.82825,                0.50679,                0.88226,             0.00016887,             0.00016887,             0.00016887
                     38,                0.90151,                0.59491,                0.89758,                0.97225,                0.98878,                0.98747,                0.78009,                0.82305,                0.50646,                0.88008,             0.00015723,             0.00015723,             0.00015723
                     39,                0.89443,                0.58683,                 0.8897,                0.95854,                0.98883,                  0.985,                0.78146,                0.82095,                0.52277,                0.87976,             0.00014559,             0.00014559,             0.00014559
                     40,                 0.9033,                0.58923,                0.89234,                0.97702,                0.98959,                0.98869,                0.78655,                0.80574,                 0.4925,                0.87581,             0.00013395,             0.00013395,             0.00013395
                     41,                0.86838,                0.55584,                 0.9069,                0.96952,                0.97939,                0.98465,                0.78324,                0.80448,                0.51354,                0.87583,              0.0001223,              0.0001223,              0.0001223
                     42,                0.84971,                0.53135,                0.90052,                0.97404,                0.98515,                0.98585,                0.77338,                0.84336,                0.52453,                0.88244,             0.00011066,             0.00011066,             0.00011066
                     43,                0.84242,                0.52659,                0.90087,                0.98117,                0.98205,                0.98569,                0.77999,                 0.8183,                0.50586,                 0.8769,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     44,                0.82922,                0.51837,                0.89511,                0.98419,                0.98422,                0.98726,                0.79088,                0.80685,                0.49118,                0.87581,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     45,                0.83862,                0.52379,                0.89543,                0.98248,                0.98363,                0.98749,                0.78593,                0.82334,                0.50053,                0.87846,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     46,                0.82681,                0.51648,                0.89745,                0.98666,                0.97932,                0.98736,                0.78823,                0.81632,                0.49074,                0.87855,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     47,                0.82264,                0.50943,                0.89152,                0.98549,                0.98066,                0.98664,                0.78355,                0.81636,                0.49687,                0.87711,              5.245e-05,              5.245e-05,              5.245e-05
                     48,                0.82147,                 0.5072,                0.89399,                0.98116,                0.98289,                0.98704,                0.78837,                0.80599,                0.48396,                0.87681,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     49,                0.82317,                0.51011,                0.88775,                0.98415,                0.98169,                0.98654,                0.79009,                0.79773,                0.48191,                0.87697,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     50,                0.82024,                0.50055,                0.89522,                0.98302,                0.98169,                0.98687,                0.78594,                0.81234,                0.48084,                0.87869,             1.7522e-05,             1.7522e-05,             1.7522e-05
